چرخان,چرخاند,چرخون,چرخوند
کوش,کوشید,,
غلتان,غلتاند,غلتون,غلتوند
غر,غرید,,
نواز,نواخت,,
افروز,افروخت,,
هراس,هراسید,,
هراسان,هراساند,هراسون,هراسوند
سنج,سنجید,,
جو,جست,,
خشک,خشکید,,
خشکان,خشکاند,خشکون,خشکوند
تن,تنید,,
شکوف,شکفت,,
قبولان,قبولاند,قبولون,قبولوند
پژوه,پژوهید,,
فرما,فرمود,,
تیغ,تیغید,,
آمیز,آغشت,,
دان,دانست,دون,دونست
تپ,تپید,,
خور,خورد,,
خوران,خوراند,خرون,خوروند
افرا,افراخت,,
خواب,خوابید,,
خوابان,خواباند,خوابون,خوابوند
روب,روفت,,
پز,پخت,,
دار,داشت,,
افت,افتاد,,
وز,وزید,,
دوز,دوخت,,
دوزان,دوزاند,دوزون,دوزوند
درخش,درخشید,,
دوان,دوانید,دوون,دووند
سرا,سرود,,
شو,شد,ش,شد
باش,بود,,
آمیز,آمیخت,,
انگار,انگاشت,,
شاش,شاشید,,
رین,رید,,
گا,گایید,,
چس,چسید,,
زی,زیست,,
گسل,گسست,,
گسل,گسیخت,,
پا,پایید,,
خیس,خیسید,,
خیسان,خیساند,خیسون,خیسوند
خسپ,خسپید,,
زای,زایید,,
زا,زاد,,
زدا,زدود,,
پراکن,پراکند,,
پرست,پرستید,,
رقص,رقصید,,
پیوند,پیوست,,
پرور,پرورید,,
پرور,پرورد,,
پروران,پروراند,پرورون,پروروند
گنج,گنجید,,
گنجا,گنجاند,گنجون,گنجوند
ایست,ایستاد,,
پرهیز,پرهیزید,,
ره,رهید,,
ستیز,ستیزید,,
رهان,راهند,,
لمبان,لمباند,لمبون,لمبوند
چپان,چپاند,چپون,چپوند
تپان,تپاند,تپون,تپوند
گریز,گریخت,,
رسان,رساند,رسون,رسوند
ستان,ستاند,ستون,ستوند
گردان,گرداند,گردون,گردوند
وزان,وزاند,وزون,وزوند
چلان,چلاند,چلون,چلوند
بر,برید,,
بردار,برداشت,,
برگرد,برگشت,,
برگردان,برگرداند,,
برگیر,برگرفت,,
برافت,برافتاد,,
برخیز,برخاست,,
برآشوب,برآشفت,,
برانگیز,برانگیخت,,
برآر,برآورد,,
برآ,برآمد,,
برگزین,برگزید,,
برچین,برچید,,
دریاب,دریافت,,
درنورد,درنوردید,,
درآ,درآمد,درا,دراومد
دررو,دررفت,,
درگیر,درگرفت,,
درگذر,درگذشت,,
درمان,درماند,,
دربر,دربرد,,
درآور,درآورد,درار,درآورد
درافت,درافتاد,,
درآمیز,درآمیخت,,
دربرگیر,دربرگرفت,,
به‌دربر,به‌دربرد,,
بازگرد,بازگشت,,
بازیاب,بازیافت,,
بازدار,بازداشت,,
بازمان,بازماند,,
بازآور,بازآورد,,
بازگردان,بازگرداند,,
بازگیر,بازگرفت,,
بازآ,بازآمد,,
بازگشا,بازگشود,,
بازآفرین,بازآفرید,,
بازفرست,بازفرستاد,,
فرورو,فرورفت,,
فروکن,فروکرد,,
فروده,فروداد,,
فروبر,فروبرد,,
فروپاش,فروپاشید,,
فروپاشان,فروپاشاند,فروپاشون,فروپاشوند
فروخور,فروخورد,,
فرومان,فروماند,,
فروگذار,فروگذاشت,,
واده,واداد,,
وارو,وارفت,,
واخواه,واخواست,,
واخور,واخورد,,
وادار,واداشت,,
واگذار,واگذاشت,,
وررو,وررفت,,
ورآ,ورآمد,,
ورافت,ورافتاد,,
فراگیر,فراگرفت,,
فراخوان,فراخواند,,
فرارس,فرارسید,,
پس‌ده,پس‌داد,,
پس‌افت,پس‌افتاد,,
پس‌انداز,پس‌انداخت,,
پس‌گیر,پس‌گرفت,,
پیش‌افت,پیش‌افتاد,,
پیش‌انداز,پیش‌انداخت,,
پیش‌گیر,پیش‌گرفت,,
