root	infinitive	preverb	elsewhere_vi	before_d_vi	causative	d_surface	formal_present_source	formal_past_source	source
جوش	جوشاندن		جوش	جوش	ان	د	جوشان	جوشاند	shekar
جوش	جوشیدن		جوش	جوشی		د	جوش	جوشید	shekar
جوی	جوییدن		جوی	جویی		د	جوی	جویید	shekar
خار	خاراندن		خار	خار	ان	د	خاران	خاراند	shekar
خار	خاریدن		خار	خاری		د	خار	خارید	shekar
خراش	خراشاندن		خراش	خراش	ان	د	خراشان	خراشاند	shekar
خراش	خراشیدن		خراش	خراشی		د	خراش	خراشید	shekar
خروش	خروشاندن		خروش	خروشان		د	خروش	خروشاند	shekar
خروش	خروشاندن		خروش	خروش	ان	د	خروشان	خروشاند	shekar
خروش	خروشیدن		خروش	خروشی		د	خروش	خروشید	shekar
خر	خریدن		خر	خری		د	خر	خرید	shekar
خز	خزیدن		خز	خزی		د	خز	خزید	shekar
خسپ	خسپیدن		خسپ	خسپی		د	خسپ	خسپید	shekar
خشک	خشکاندن		خشک	خشک	ان	د	خشکان	خشکاند	shekar
خشک	خشکیدن		خشک	خشکی		د	خشک	خشکید	shekar
خند	خنداندن		خند	خند	ان	د	خندان	خنداند	shekar
خند	خندیدن		خند	خندی		د	خند	خندید	shekar
خواب	خواباندن		خواب	خواب	ان	د	خوابان	خواباند	shekar
خواب	خوابیدن		خواب	خوابی		د	خواب	خوابید	shekar
خواه	خواستن		خواه	خواس		ت	خواه	خواست	shekar
خوان	خواندن		خوان	خوان		د	خوان	خواند	shekar
خور	خوراندن		خور	خور	ان	د	خوران	خوراند	shekar
خور	خوردن		خور	خور		د	خور	خورد	shekar
خیس	خیساندن		خیس	خیس	ان	د	خیسان	خیساند	shekar
خیس	خیسیدن		خیس	خیسی		د	خیس	خیسید	shekar
ده	دادن		ده	دا		د	ده	داد	shekar
دار	داشتن		دار	داش		ت	دار	داشت	shekar
دان	دانستن		دان	دانس		ت	دان	دانست	shekar
آی	درآمدن	در	آ	آم		د	درآ	درآمد	shekar
آمیز	درآمیختن	در	آمیز	آمیخ		ت	درآمیز	درآمیخت	shekar
آور	درآوردن	در	آور	آور		د	درآور	درآورد	shekar
افت	درافتادن	در	افت	افتا		د	درافت	درافتاد	shekar
بر	دربردن	در	بر	بر		د	دربر	دربرد	shekar
گیر	دربرگرفتن	دربر	گیر	گرف		ت	دربرگیر	دربرگرفت	shekar
درخش	درخشاندن		درخش	درخش	ان	د	درخشان	درخشاند	shekar
درخش	درخشیدن		درخش	درخشی		د	درخش	درخشید	shekar
رو	دررفتن	در	رو	رف		ت	دررو	دررفت	shekar
مان	درماندن	در	مان	مان		د	درمان	درماند	shekar
نورد	درنوردیدن	در	نورد	نوردی		د	درنورد	درنوردید	shekar
درنگ	درنگیدن		درنگ	درنگی		د	درنگ	درنگید	shekar
گذر	درگذشتن	در	گذر	گذش		ت	درگذر	درگذشت	shekar
گیر	درگرفتن	در	گیر	گرف		ت	درگیر	درگرفت	shekar
یاب	دریافتن	در	یاب	یاف		ت	دریاب	دریافت	shekar
در	دریدن		در	دری		د	در	درید	shekar
دزد	دزدیدن		دزد	دزدی		د	دزد	دزدید	shekar
دم	دمیدن		دم	دمی		د	دم	دمید	shekar
دو	دواندن		دو	دو	ان	د	دوان	دواند	shekar
دوان	دوانیدن		دوان	دوانی		د	دوان	دوانید	shekar
دوز	دوختن		دوز	دوخ		ت	دوز	دوخت	shekar
دوز	دوزاندن		دوز	دوز	ان	د	دوزان	دوزاند	shekar
دو	دویدن		دو	دوی		د	دو	دوید	shekar
بین	دیدن		بین	دی		د	بین	دید	shekar
ران	راندن		ران	ران		د	ران	راند	shekar
رهان	راهندن		رهان	راهن		د	رهان	راهند	shekar
ربا	ربودن		ربا	ربو		د	ربا	ربود	shekar
رخشان	رخشاندن		رخشان	رخشان		د	رخشان	رخشاند	shekar
رس	رساندن		رس	رس	ان	د	رسان	رساند	shekar
رس	رسیدن		رس	رسی		د	رس	رسید	shekar
رو	رفتن		رو	رف		ت	رو	رفت	shekar
رقص	رقصاندن		رقص	رقص	ان	د	رقصان	رقصاند	shekar
رقص	رقصیدن		رقص	رقصی		د	رقص	رقصید	shekar
رم	رماندن		رم	رم	ان	د	رمان	رماند	shekar
رم	رمیدن		رم	رمی		د	رم	رمید	shekar
رنج	رنجاندن		رنج	رنج	ان	د	رنجان	رنجاند	shekar
رنج	رنجیدن		رنج	رنجی		د	رنج	رنجید	shekar
رهان	رهانیدن		رهان	رهانی		د	رهان	رهانید	shekar
ره	رهیدن		ره	رهی		د	ره	رهید	shekar
روب	روفتن		روب	روف		ت	روب	روفت	shekar
روی	رویاندن		روی	روی	ان	د	رویان	رویاند	shekar
روی	روییدن		روی	رویی		د	روی	رویید	shekar
ریز	ریختن		ریز	ریخ		ت	ریز	ریخت	shekar
رین	ریدن		رین	ری		د	رین	رید	shekar
زا	زادن		زا	زا		د	زا	زاد	shekar
زای	زاییدن		زای	زایی		د	زای	زایید	shekar
زن	زدن		زن	ز		د	زن	زد	shekar
زدا	زدودن		زدا	زدو		د	زدا	زدود	shekar
زی	زیستن		زی	زیس		ت	زی	زیست	shekar
ساب	ساباندن		ساب	ساب	ان	د	سابان	ساباند	shekar
ساب	سابیدن		ساب	سابی		د	ساب	سابید	shekar
ساز	ساختن		ساز	ساخ		ت	ساز	ساخت	shekar
سا	ساییدن		سا	سایی		د	سا	سایید	shekar
ستان	ستاندن		ستان	ستان		د	ستان	ستاند	shekar
ستای	ستودن		ستای	ستو		د	ستای	ستود	shekar
ستیز	ستیزیدن		ستیز	ستیزی		د	ستیز	ستیزید	shekar
سران	سراندن		سران	سران		د	سران	سراند	shekar
سرا	سراییدن		سرا	سرایی		د	سرا	سرایید	shekar
سرا	سرودن		سرا	سرو		د	سرا	سرود	shekar
سنج	سنجیدن		سنج	سنجی		د	سنج	سنجید	shekar
سوز	سوختن		سوز	سوخ		ت	سوز	سوخت	shekar
سوز	سوزاندن		سوز	سوز	ان	د	سوزان	سوزاند	shekar
سپار	سپردن		سپار	سپر		د	سپار	سپرد	shekar
سپر	سپردن		سپر	سپر		د	سپر	سپرد	shekar
شاش	شاشیدن		شاش	شاشی		د	شاش	شاشید	shekar
شتاب	شتافتن		شتاب	شتاف		ت	شتاب	شتافت	shekar
شو	شدن		شو	ش		د	شو	شد	shekar
شور	شستن		شور	شس		ت	شور	شست	shekar
شمار	شمردن		شمار	شمر		د	شمار	شمرد	shekar
شمر	شمردن		شمر	شمر		د	شمر	شمرد	shekar
شناس	شناختن		شناس	شناخ		ت	شناس	شناخت	shekar
شناس	شناساندن		شناس	شناس	ان	د	شناسان	شناساند	shekar
شنو	شنیدن		شنو	شنی		د	شنو	شنید	shekar
شور	شوراندن		شور	شوران		د	شور	شوراند	shekar
شور	شوراندن		شور	شور	ان	د	شوران	شوراند	shekar
شور	شوریدن		شور	شوری		د	شور	شورید	shekar
